isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup25546_c0_g1	ACOX1 acyl-Coenzyme A oxidase
isogroup25517_c0_g1	GCDH glutaryl-CoA dehydrogenase
isogroup25530_c0_g1	RBKS ribokinase activity
isogroup25582_c0_g1	PTRH2 aminoacyl-tRNA hydrolase activity
isogroup25513_c0_g1	 zinc ion binding
isogroup25549_c0_g1	LRP2BP LRP2 binding protein
isogroup25572_c0_g1	ITPA xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions
isogroup25575_c0_g2	 RIH domain
isogroup25502_c0_g1	MAPK14 MAP kinase activity
isogroup25545_c0_g2	LRGUK axoneme assembly
isogroup25545_c0_g3	EEF1A1 regulation of response to stimulus
isogroup25590_c0_g1	Ddx39b Involved in nuclear export of spliced and unspliced mRNA. Assembling component of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription- independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cytoplasm via the TAP NFX1 pathway. May undergo several rounds of ATP hydrolysis during assembly of TREX to drive subsequent loading of components such as ALYREF THOC and CHTOP onto mRNA. Also associates with pre-mRNA independent of ALYREF THOC4 and the THO complex. Involved in the nuclear export of intronless mRNA
isogroup25579_c0_g1	YARS tyrosyl-tRNA aminoacylation
isogroup25528_c0_g1	PGM2 glucose-1,6-bisphosphate synthase activity
isogroup25554_c0_g1	TFAP4 Transcription factor AP4
isogroup25580_c0_g1	TTC39B Protein of unknown function (DUF3808)
isogroup25558_c0_g1	WARS Belongs to the class-I aminoacyl-tRNA synthetase family
isogroup25587_c0_g1	CUL4B Belongs to the cullin family
isogroup25599_c0_g1	GAS8 positive regulation of protein localization to cilium
isogroup25503_c0_g2	TMEM184C transporter activity
isogroup27440_c0_g1	BIRC6 protein modification by small protein conjugation
isogroup27440_c0_g2	BIRC6 protein modification by small protein conjugation
isogroup27422_c0_g1	 ARF-like small GTPases; ARF, ADP-ribosylation factor
isogroup27470_c0_g1	RpL3 Belongs to the universal ribosomal protein uL3 family
isogroup27497_c0_g3	 response to pheromone
isogroup27456_c0_g1	OSBPL9 lipid transport
isogroup27456_c0_g2	OSBPL9 lipid transport
isogroup27403_c0_g1	PDE7B phosphodiesterase
isogroup27403_c0_g2	PDE7B phosphodiesterase
isogroup27488_c0_g1	CAT Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
isogroup27413_c0_g1	SRP68 signal recognition particle binding
isogroup27486_c0_g1	 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
isogroup27436_c0_g1	ATG16L1 selective autophagy
isogroup27444_c0_g1	 glutathione hydrolase activity
isogroup27474_c0_g1	TMEM189 transmembrane protein 189
isogroup27495_c0_g1	RPL17 structural constituent of ribosome
isogroup27421_c0_g1	ATG3 Autophagy-related protein 3
isogroup27498_c0_g1	 myosin light chain kinase activity
isogroup17906_c0_g1	Fib Fibrillarin
isogroup17906_c0_g2	FBL ubiE/COQ5 methyltransferase family
isogroup17978_c3_g1	RAP1A Ras-related protein
isogroup17978_c1_g1	rap-1 Rap protein signal transduction
isogroup17978_c2_g1	rap-1 Rap protein signal transduction
isogroup17991_c0_g1	RPL22 structural constituent of ribosome
isogroup17940_c0_g1	timm8a protein transport
isogroup17948_c0_g1	 L-threonine 3-dehydrogenase
isogroup17961_c0_g1	 SOCS_box
isogroup17923_c0_g2	HPGD Belongs to the short-chain dehydrogenases reductases (SDR) family
isogroup17922_c0_g1	 NHL repeat
isogroup17944_c0_g3	THAP9 THAP domain containing 9
isogroup17981_c1_g2	 Belongs to the mitochondrial carrier (TC 2.A.29) family
isogroup17935_c0_g1	 complement activation, classical pathway
isogroup17990_c0_g1	 Calx-beta domain
isogroup17942_c0_g1	 retrotransposable element Tf2 155 kDa protein type 1-like
isogroup17952_c0_g1	HSPA5 Belongs to the heat shock protein 70 family
isogroup17952_c0_g2	HSPA5 Belongs to the heat shock protein 70 family
isogroup17917_c0_g1	GCK glucose binding
isogroup17914_c0_g1	UBTFL1 Upstream binding transcription factor, RNA polymerase I-like 1
isogroup17984_c0_g1	MFSD12 major facilitator superfamily
isogroup17970_c0_g1	LRRC6 leucine rich repeat containing 6
isogroup36129_c0_g1	CYB5R3 cytochrome-b5 reductase activity, acting on NAD(P)H
isogroup36138_c0_g1	NBEAL1 platelet formation
isogroup36190_c0_g1	Gmd It is involved in the biological process described with GDP-mannose metabolic process
isogroup36105_c0_g1	DEPTOR MTOR-interacting protein
isogroup36152_c0_g1	GAS8 positive regulation of protein localization to cilium
isogroup36130_c0_g1	 Pleckstrin homology domain.
isogroup36187_c0_g1	NME6 Nucleoside diphosphate kinase
isogroup36160_c0_g1	BCAT1 L-isoleucine transaminase activity
isogroup36116_c0_g1	HPRT1 Belongs to the purine pyrimidine phosphoribosyltransferase family
isogroup36143_c0_g1	LARP6 La ribonucleoprotein domain family member 6
isogroup36193_c0_g1	 C2 domain
isogroup36135_c0_g1	 SOR/SNZ family
isogroup36198_c0_g1	LIPE Steryl acetyl hydrolase
isogroup36148_c0_g1	GLB1L beta-galactosidase activity
isogroup36159_c0_g1	STPG1 positive regulation of protein homodimerization activity
isogroup36120_c0_g1	HMCN2 smooth muscle contraction
isogroup36156_c0_g1	 ephrin receptor activity
isogroup36178_c0_g1	DIS3L rRNA catabolic process
isogroup45654_c1_g2	 Tyrosine kinase, catalytic domain
isogroup45624_c0_g1	KCMF1 potassium channel modulatory factor 1
isogroup45676_c0_g1	UNC119 negative regulation of caveolin-mediated endocytosis
isogroup45613_c0_g1	HELZ2 nuclear receptor transcription coactivator activity
isogroup45686_c0_g1	 ATPase activity, coupled to transmembrane movement of substances
isogroup45626_c0_g1	 Calponin family repeat
isogroup45632_c0_g1	RHPN2 BRO1-like domain
isogroup45659_c0_g1	KCTD20 type B pancreatic cell proliferation
isogroup45659_c0_g3	KCTD20 type B pancreatic cell proliferation
isogroup45656_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup45604_c0_g1	MRPS10 translation
isogroup45631_c1_g1	CSRP2 cysteine and glycine-rich protein
isogroup45631_c2_g1	 cysteine and glycine-rich protein
isogroup45631_c0_g1	 Belongs to the mitochondrial carrier (TC 2.A.29) family
isogroup12036_c0_g1	TRMT1 N(2),N(2)-dimethylguanosine tRNA methyltransferase
isogroup12086_c0_g1	EXOSC10 nuclear retention of unspliced pre-mRNA at the site of transcription
isogroup12073_c0_g2	 Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup12051_c0_g2	Nlrp10 NACHT domain
isogroup12024_c0_g1	SLC25A38 glycine import into mitochondrion
isogroup12025_c0_g1	PDAP1 28 kDa heat- and acid-stable
isogroup12015_c1_g1	STT3B subunit of the oligosaccharyltransferase complex
isogroup12015_c0_g1	TBC1D5 TBC1 domain family, member 5
isogroup12090_c0_g1	JUN cellular response to potassium ion starvation
isogroup12061_c0_g1	ATXN3 Ataxin 3
isogroup12022_c0_g2	TMBIM4 Belongs to the BI1 family
isogroup12022_c0_g3	TMBIM4 regulation of calcium-mediated signaling
isogroup12050_c0_g1	 complement activation, classical pathway
isogroup12050_c0_g2	 Tyrosine kinase, catalytic domain
isogroup12004_c0_g1	RAD1 exodeoxyribonuclease III activity
isogroup12060_c0_g1	UFC1 UFM1 transferase activity
isogroup12069_c0_g1	 ethanolamine kinase activity
isogroup12041_c0_g1	 ribosomal small subunit binding
isogroup12052_c1_g1	PRMT5 positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway
isogroup12039_c0_g1	 NHL repeat
isogroup12005_c0_g2	 sulfotransferase activity
isogroup12099_c0_g1	 NACHT domain
isogroup12084_c0_g1	SLC8A2 sodium calcium exchanger
isogroup12031_c0_g1	PYGO2 Pygopus homolog
isogroup12097_c0_g1	DYSF plasma membrane repair
isogroup12048_c0_g3	SWI5 DNA repair protein SWI5 homolog
isogroup59982_c0_g1	ATG10 Ubiquitin-like-conjugating enzyme ATG10
isogroup59905_c1_g1	 Protein tyrosine kinase
isogroup59912_c0_g1	 K02A2.6-like
isogroup59912_c0_g2	 K02A2.6-like
isogroup59900_c0_g1	UNC50 RNA binding
isogroup59960_c0_g1	PSMD1 regulation of protein catabolic process
isogroup59970_c0_g1	CHMP1A mitotic chromosome condensation
isogroup59972_c0_g1	AIFM1 cellular response to aldosterone
isogroup59969_c0_g1	rpm-1 regulation of axon guidance
isogroup59967_c0_g1	BUB3 mitotic spindle assembly checkpoint
isogroup59904_c0_g1	LMLN regulation of choline O-acetyltransferase activity
isogroup59936_c0_g1	 Cugbp, Elav-like family member
isogroup59965_c0_g1	UGDH UDP-glucose 6-dehydrogenase activity
isogroup59975_c0_g2	ARL1 activation of phospholipase D activity
isogroup59958_c0_g1	SEC14L2 SEC14-like
isogroup94738_c0_g1	SERHL2 Serine hydrolase-like
isogroup94709_c0_g1	 animal organ development
isogroup94733_c0_g1	DDRGK1 DDRGK domain-containing protein 1
isogroup94785_c0_g1	 Belongs to the G-protein coupled receptor 2 family
isogroup94785_c0_g2	 Belongs to the G-protein coupled receptor 2 family
isogroup94721_c0_g1	LEO1 RNA polymerase II C-terminal domain phosphoserine binding
isogroup94787_c0_g1	 Protein tyrosine kinase
isogroup94706_c0_g1	PDS5A Sister chromatid cohesion protein PDS5 homolog
isogroup94764_c0_g1	SEC14L2 SEC14-like
isogroup94788_c0_g1	LRP1B lipoprotein receptor-related protein 1B
isogroup94780_c0_g1	TRMT112 tRNA methyltransferase 11-2 homolog
isogroup34904_c0_g1	 Caspase domain
isogroup34921_c0_g1	ZFR2 Zinc finger RNA-binding protein 2
isogroup34908_c0_g1	ZFAND4 ubiquitin
isogroup34929_c0_g1	 Tyrosine kinase, catalytic domain
isogroup44091_c0_g1	PDIA3 protein disulfide isomerase activity
isogroup44004_c0_g1	EIF3D translation initiation factor activity
isogroup44078_c0_g1	UNC13D regulation of dense core granule exocytosis
isogroup44051_c0_g3	 erythroblast transformation specific domain
isogroup44074_c0_g1	CCNL1 Belongs to the cyclin family
isogroup44009_c0_g1	DDIAS regulation of DNA stability
isogroup44073_c0_g1	FAHD2A hydrolase activity
isogroup44021_c0_g1	ECH1 Belongs to the enoyl-CoA hydratase isomerase family
isogroup44057_c0_g1	 Src homology 2 domains
isogroup44057_c0_g2	ABR negative regulation of neutrophil degranulation
isogroup44054_c0_g2	PARK2 Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins
isogroup44047_c0_g1	 Pleckstrin homology domain.
isogroup44046_c0_g1	 ATPase activity
isogroup44048_c0_g1	TVP23B Golgi apparatus membrane protein TVP23 homolog
isogroup44089_c0_g1	 Protein tyrosine kinase
isogroup44029_c0_g1	 K02A2.6-like
isogroup44011_c0_g1	RARS Belongs to the class-I aminoacyl-tRNA synthetase family
isogroup44028_c0_g1	WFS1 negative regulation of ATF6-mediated unfolded protein response
isogroup44019_c0_g1	MYO1E translation initiation factor activity
isogroup44024_c0_g1	PMPCB Belongs to the peptidase M16 family
isogroup44005_c0_g1	DNALI1 Dynein axonemal light intermediate chain 1
isogroup44006_c0_g1	KCMF1 potassium channel modulatory factor 1
isogroup44016_c0_g1	 GTPase activity
isogroup44070_c0_g1	CS citrate synthase
isogroup44061_c0_g1	PCNA dinucleotide insertion or deletion binding
isogroup44061_c0_g3	PCNA DNA polymerase processivity factor activity
isogroup44081_c0_g1	 Belongs to the cytochrome b5 family
isogroup44023_c0_g1	CREB3L1 cAMP responsive element binding protein 3-like 1
isogroup56038_c0_g1	RRP12 RRP12-like protein
isogroup56091_c0_g1	OLA1 Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
isogroup56016_c0_g1	SEC23IP SEC23-interacting protein
isogroup56020_c0_g1	 type 2A serotonin receptor binding
isogroup56075_c0_g1	POLL 5'-deoxyribose-5-phosphate lyase activity
isogroup56083_c0_g1	 ABC transporter transmembrane region
isogroup56096_c0_g1	NDUFS2 quinone binding
isogroup56042_c0_g1	 Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
isogroup56062_c0_g1	PSTPIP1 inflammatory response
isogroup82640_c0_g1	 Filamin C, gamma
isogroup82604_c2_g1	PSMA2 threonine-type endopeptidase activity
isogroup82615_c0_g2	NDUFV1 FMN binding
isogroup82642_c0_g1	 K02A2.6-like
isogroup82610_c0_g1	WDR83 WD repeat
isogroup82686_c0_g1	TRAPPC1 trafficking protein particle complex
isogroup38728_c0_g1	 osmolarity-sensing cation channel activity
isogroup38706_c0_g1	DCTD dCMP deaminase activity
isogroup38780_c0_g1	PLEKHD1 PH domain
isogroup38737_c0_g1	SPO11 Meiotic recombination protein spo11
isogroup38744_c0_g1	PSMD11 proteasome assembly
isogroup38715_c0_g1	DCAF4 DDB1 and
isogroup38755_c0_g1	 alcohol dehydrogenase (NADP+) activity
isogroup38704_c0_g1	CARS cysteine-tRNA ligase activity
isogroup38788_c0_g1	YY1 response to prostaglandin F
isogroup38761_c0_g1	 K02A2.6-like
isogroup87127_c0_g1	NECAP1 endocytosis
isogroup87150_c0_g3	 transposition, RNA-mediated
isogroup87104_c0_g1	MRTO4 Component of the ribosome assembly machinery. Nuclear paralog of the ribosomal protein P0, it binds pre-60S subunits at an early stage of assembly in the nucleolus, and is replaced by P0 in cytoplasmic pre-60S subunits and mature 80S ribosomes
isogroup87195_c0_g1	PPIL3 PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
isogroup87147_c0_g1	THOC1 negative regulation of isotype switching to IgA isotypes
isogroup87114_c0_g1	PTGR1 2-alkenal reductase [NAD(P)] activity
isogroup87158_c0_g1	 binding. It is involved in the biological process described with protein phosphorylation
isogroup87168_c0_g1	TBC1D4 TBC1 domain family, member 4
isogroup46020_c0_g1	LPP biological adhesion
isogroup46060_c0_g1	NXF1 poly(A)+ mRNA export from nucleus
isogroup46056_c0_g1	RAB24 process utilizing autophagic mechanism
isogroup46053_c0_g1	CHP1 positive regulation of sodium:proton antiporter activity
isogroup46012_c0_g1	ANKRD66 ankyrin repeat
isogroup46052_c0_g1	 Reactive mitochondrial oxygen species modulator 1
isogroup46062_c0_g1	COPB2 intracellular protein transport
isogroup46033_c0_g1	pan regulation of neuroblast migration
isogroup46067_c0_g1	MRPL37 ribosomal protein L37
isogroup46048_c0_g1	 EF-hand domain pair
isogroup46050_c0_g1	PIPOX L-pipecolate oxidase activity
isogroup46031_c0_g1	 non-membrane spanning protein tyrosine kinase activity
isogroup46013_c0_g1	PpV phosphoprotein phosphatase activity
isogroup92851_c0_g1	AK9 Adenylate kinase
isogroup92869_c0_g1	SDSL L-threonine ammonia-lyase activity
isogroup92845_c0_g1	PARP8 NAD+ ADP-ribosyltransferase activity
isogroup92805_c0_g1	 Sodium potassium-transporting ATPase subunit alpha
isogroup92813_c1_g1	ACO1 iron-responsive element binding
isogroup1840_c0_g1	ENTHD2 ENTH domain
isogroup1858_c0_g2	 ETS translocation variant 5-like
isogroup1885_c0_g1	mrp-5 ATPase activity, coupled to transmembrane movement of substances
isogroup1800_c0_g1	TRIM56 E3 ubiquitin-protein ligase TRIM56
isogroup1806_c0_g1	API5 negative regulation of fibroblast apoptotic process
isogroup1815_c0_g1	ANKS1A regulation of synaptic plasticity by receptor localization to synapse
isogroup1861_c0_g1	DYNLL2 Dynein, light chain
isogroup1896_c0_g1	WDR83 WD repeat
isogroup1884_c0_g1	 zinc ion binding
isogroup1884_c0_g2	 zinc ion binding
isogroup1865_c0_g2	SFSWAP Splicing factor, suppressor of white-apricot homolog
isogroup1823_c0_g1	SMCR8 Smith-Magenis syndrome chromosomal region candidate gene 8 protein
isogroup1886_c0_g1	DCUN1D2 defective in cullin neddylation 1, domain containing 2
isogroup1830_c0_g1	USP16 Specifically deubiquitinates 'Lys-120' of histone H2A (H2AK119Ub), a specific tag for epigenetic transcriptional repression, thereby acting as a coactivator. Deubiquitination of histone H2A is a prerequisite for subsequent phosphorylation at 'Ser-11' of histone H3 (H3S10ph), and is required for chromosome segregation when cells enter into mitosis. In resting B- and T- lymphocytes, phosphorylation by AURKB leads to enhance its activity, thereby maintaining transcription in resting lymphocytes. Regulates Hox gene expression via histone H2A deubiquitination. Prefers nucleosomal substrates. Does not deubiquitinate histone H2B
isogroup1898_c0_g1	CCDC132 endocytic recycling
isogroup1889_c0_g1	rps24 Ribosomal protein S24
isogroup1889_c0_g2	 40S ribosomal protein
isogroup1878_c0_g1	SRP72 signal recognition particle subunit SRP72
isogroup1874_c1_g1	 establishment or maintenance of actin cytoskeleton polarity
isogroup1825_c0_g1	SLC25A37 iron import into the mitochondrion
isogroup1862_c0_g1	 Epidermal growth factor-like domain.
isogroup1845_c2_g1	TBC1D5 TBC1 domain family, member 5
isogroup1899_c0_g1	 positive regulation of protein exit from endoplasmic reticulum
isogroup1899_c0_g2	 positive regulation of protein exit from endoplasmic reticulum
isogroup1807_c0_g1	 D123
isogroup1816_c0_g1	 EF-hand domain
isogroup1894_c0_g1	PA2G4 rRNA processing
isogroup1868_c0_g1	 Map microtubule affinity-regulating kinase
isogroup1848_c0_g1	 Ankyrin repeats (many copies)
isogroup1843_c0_g1	NFU1 NFU1 iron-sulfur cluster scaffold homolog
isogroup1853_c3_g1	Nlrp10 NACHT domain
isogroup1832_c0_g1	 protein tyrosine phosphatase activity
isogroup1850_c0_g1	GPR98 maintenance of animal organ identity
isogroup1813_c0_g1	MARC2 molybdenum ion binding
isogroup1813_c0_g2	MARC2 molybdenum ion binding
isogroup1813_c0_g3	MARC2 molybdenum ion binding
isogroup1882_c0_g1	TMED2 transmembrane emp24
isogroup1880_c0_g1	TUSC2 tumor suppressor candidate 2
isogroup1869_c0_g1	drosha Ribonuclease III family
isogroup1849_c1_g1	UNC45A muscle structure development
isogroup1859_c0_g1	 telomerase activity
isogroup1859_c0_g3	 telomerase activity
isogroup1828_c0_g1	 Jerky protein homolog-like
isogroup1897_c0_g1	 Fatty acid hydroxylase superfamily
isogroup1893_c0_g1	 helicase activity
isogroup1827_c0_g1	IFIH1 cytoplasmic pattern recognition receptor signaling pathway in response to virus
isogroup1808_c0_g1	SPRYD7 SPRY domain
isogroup1805_c0_g1	NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
isogroup1810_c0_g1	 Chromosome 16 open reading frame 62
isogroup1811_c0_g1	RETSAT all-trans-retinol 13,14-reductase activity
isogroup1892_c0_g1	 Immunoglobulin C-2 Type
isogroup1846_c0_g1	KLHDC2 Galactose oxidase, central domain
isogroup1881_c0_g1	ZFC3H1 Zinc finger, C3H1-type containing
isogroup1895_c0_g1	 microtubule motor activity
isogroup1872_c0_g1	NCLN May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
isogroup1817_c0_g1	NYNRIN NYN domain and retroviral integrase containing
isogroup1817_c0_g2	 K02A2.6-like
isogroup1844_c0_g1	MSI1 RNA-binding protein Musashi homolog
isogroup1844_c0_g2	 nucleic acid binding
isogroup1890_c0_g1	ICMT protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
isogroup1890_c0_g2	ALG5 dolichyl-phosphate beta-glucosyltransferase activity
isogroup1875_c0_g1	 Homeodomain
isogroup1839_c0_g1	 ARF-like small GTPases; ARF, ADP-ribosylation factor
isogroup1847_c0_g2	COLEC12 Collectin sub-family member 12
isogroup1803_c0_g1	TAB1 mitogen-activated protein kinase p38 binding
isogroup1864_c0_g1	FAM65A negative regulation of Rho guanyl-nucleotide exchange factor activity
isogroup1804_c0_g1	ASB10 Ankyrin repeat and SOCS box
isogroup1836_c0_g1	SPEN obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
isogroup1834_c0_g2	SF3A3 Subtilase family
isogroup1854_c0_g1	 Glycosyltransferase 8
isogroup87291_c0_g1	MAF1 Element of the TORC1 signaling pathway that acts as a mediator of diverse signals and that represses RNA polymerase III transcription. Inhibits the de novo assembly of TFIIIB onto DNA
isogroup87256_c0_g1	PTCD1 Pentatricopeptide repeat-containing protein 1, mitochondrial
isogroup87232_c0_g1	 non-membrane spanning protein tyrosine kinase activity
isogroup70494_c0_g1	Caf1 Histone-binding protein RBBP4 or subunit C of CAF1 complex
isogroup70483_c0_g1	PRKD1 protein kinase D signaling
isogroup70435_c0_g1	 condensed mesenchymal cell proliferation
isogroup70435_c0_g2	 condensed mesenchymal cell proliferation
isogroup70412_c0_g1	TRAF3IP1 intraciliary transport
isogroup70470_c0_g1	MEAF6 Chromatin modification-related protein MEAF6
isogroup70409_c0_g1	VAMP4 vesicle-associated membrane protein 4
isogroup70446_c0_g1	CARF Transcription factor
isogroup99306_c0_g1	YIPF3 Yip1 domain family member 3
isogroup99395_c0_g1	 Vacuolar Protein
isogroup48574_c0_g2	 Si ch211-37e10.1
isogroup48560_c0_g1	TMEM66 Store-operated calcium entry-associated regulatory factor
isogroup48554_c0_g1	COMMD9 COMM domain-containing protein 9
isogroup48520_c0_g1	CSK Tyrosine-protein kinase
isogroup48520_c0_g2	CSK Tyrosine-protein kinase
isogroup48549_c0_g1	SLC37A1 Solute carrier family 37
isogroup48543_c0_g1	 GTPase-activator protein for Rho-like GTPases
isogroup48513_c0_g1	SPDYA positive regulation of cyclin-dependent protein serine/threonine kinase activity
isogroup48513_c0_g2	NRDE2 chromatin silencing by small RNA
isogroup48584_c0_g1	 microtubule-based process
isogroup48542_c0_g5	KIF9 regulation of podosome assembly
isogroup48542_c0_g2	KIF9 Kinesin family member 9
isogroup48587_c0_g1	GTF2A2 RNA polymerase II transcriptional preinitiation complex assembly
isogroup48590_c0_g1	TSNAXIP1 spermatogenesis
isogroup48556_c0_g1	PTPN9 Protein tyrosine phosphatase, non-receptor type 9
isogroup48524_c0_g1	CYCS electron transfer activity
isogroup48511_c0_g1	 calcium ion binding
isogroup48508_c0_g1	RARS Belongs to the class-I aminoacyl-tRNA synthetase family
isogroup39225_c0_g1	LAP3 leucine aminopeptidase 3
isogroup39245_c0_g1	PLEKHA1 Leydig cell differentiation
isogroup39237_c0_g1	Eno phosphopyruvate hydratase activity
isogroup39224_c0_g1	GTF2H5 transcription elongation from RNA polymerase I promoter
isogroup39235_c0_g1	SLC25A1 Belongs to the mitochondrial carrier (TC 2.A.29) family
isogroup39291_c0_g1	FAH fumarylacetoacetase activity
isogroup39247_c0_g1	ALDH5A1 Succinate-semialdehyde dehydrogenase, mitochondrial
isogroup39200_c0_g1	 Meningioma expressed antigen 5 (hyaluronidase)
isogroup87944_c0_g1	 K02A2.6-like
isogroup87959_c0_g1	RpL27 Belongs to the eukaryotic ribosomal protein eL27 family
isogroup87923_c0_g1	mRpL12 Structural constituent of ribosome. It is involved in the biological process described with translation
isogroup8588_c0_g1	 Belongs to the short-chain dehydrogenases reductases (SDR) family
isogroup8526_c0_g4	 phospholipid scrambling
isogroup8526_c0_g1	 phospholipid scrambling
isogroup8526_c0_g2	HYKK hydroxylysine kinase activity
isogroup8516_c0_g1	UHRF1BP1L identical protein binding
isogroup8525_c0_g2	 Interferon induced with helicase C domain 1
isogroup8571_c2_g1	EIF3I translation initiation factor activity
isogroup8564_c0_g1	HMCN1 Hemicentin 1
isogroup8518_c0_g1	RBM19 positive regulation of embryonic development
isogroup8548_c0_g1	SMG5 nonsense mediated mRNA decay factor
isogroup8539_c3_g1	 sphingolipid transporter activity
isogroup8502_c0_g1	 protein tyrosine phosphatase activity
isogroup8520_c0_g2	PSKH1 kinase H1
isogroup8578_c0_g1	GRID2IP Glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein
isogroup8587_c1_g2	 Gamma-glutamyltranspeptidase 2-like
isogroup8587_c1_g1	PRKDC DNA-dependent protein kinase activity
isogroup8587_c0_g1	PRKDC DNA-dependent protein kinase activity
isogroup8568_c0_g1	PPP2R4 PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
isogroup8519_c0_g1	MPP7 protein localization to adherens junction
isogroup8565_c0_g1	NCAPD2 meiotic chromosome condensation
isogroup8512_c0_g1	MOCS3 molybdopterin-synthase sulfurtransferase activity
isogroup8512_c0_g3	CCNH positive regulation of phosphorylation of RNA polymerase II C-terminal domain
isogroup8585_c0_g1	 actin filament severing
isogroup8510_c0_g1	MAP1LC3C Belongs to the ATG8 family
isogroup8582_c0_g1	 nuclear pore complex assembly
isogroup8598_c0_g1	EMG1 rRNA (pseudouridine) methyltransferase activity
isogroup8599_c0_g1	LCP1 actin filament network formation
isogroup8580_c0_g1	RpII215 DNA-directed 5'-3' RNA polymerase activity
isogroup8580_c0_g2	RpII215 DNA-directed 5'-3' RNA polymerase activity
isogroup8507_c0_g1	 Ubiquitin-like domain
isogroup8543_c0_g1	FZD4 cerebellum vasculature morphogenesis
isogroup8597_c0_g1	Nlrp10 NACHT domain
isogroup8552_c0_g1	HARS histidyl-tRNA aminoacylation
isogroup8500_c0_g1	ARSA sulfuric ester hydrolase activity
isogroup8579_c0_g1	 peptide-methionine (S)-S-oxide reductase activity
isogroup8579_c0_g2	 peptide-methionine (S)-S-oxide reductase activity
isogroup8584_c0_g2	FHAD1 Forkhead-associated (FHA) phosphopeptide binding domain 1
isogroup8509_c0_g1	TRAF4 activation of NF-kappaB-inducing kinase activity
isogroup8509_c0_g2	TRAF4 activation of NF-kappaB-inducing kinase activity
isogroup8589_c0_g1	 binding. It is involved in the biological process described with DNA
isogroup8531_c0_g1	RPL18 ribosomal protein
isogroup8540_c1_g1	PORCN protein palmitoleylation
isogroup8559_c0_g1	RpL12 Belongs to the universal ribosomal protein uL11 family
isogroup8577_c0_g1	VDAC2 Voltage-dependent anion-selective channel protein
isogroup8594_c0_g1	NEDD8 ubiquitin
isogroup8594_c0_g2	NEDD8 ubiquitin
isogroup8553_c0_g1	ACTR3B cytoskeleton organization
isogroup8592_c0_g1	POLD2 DNA-directed DNA polymerase activity
isogroup98739_c0_g1	Surf1 Probably involved in the biogenesis of the COX complex
isogroup54777_c0_g1	DNAH6 ATP-dependent microtubule motor activity, minus-end-directed
isogroup54790_c0_g2	SMC4 chromosome condensation
isogroup54772_c0_g1	PTEN Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase
isogroup54735_c0_g1	KYNU anthranilate metabolic process
isogroup54738_c0_g1	MPEG1 MAC/Perforin domain
isogroup54782_c0_g1	 Sec23/Sec24 zinc finger
isogroup54754_c0_g1	CTH Cystathionine gamma-lyase
isogroup54767_c0_g1	CCDC40 epithelial cilium movement involved in determination of left/right asymmetry
isogroup54791_c0_g1	 catalytic activity. It is involved in the biological process described with metabolic process
isogroup54760_c0_g1	 BH2 domain binding
isogroup54703_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup54742_c0_g1	 Sortilin-related receptor
isogroup54763_c0_g1	TMEM107 protein localization to ciliary transition zone
isogroup54750_c0_g1	 DNA integration
isogroup54769_c0_g1	MAP4K4 MAP kinase kinase kinase kinase activity
isogroup54749_c0_g2	ING3 inhibitor of growth
isogroup54749_c0_g3	CATSPER3 Ion transport protein
isogroup32143_c4_g1	DNASE1 deoxyribonuclease I
isogroup32195_c0_g1	atg9b Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle
