k141_145339_5	chemotaxis, protein
k141_53900_3	PFAM cation antiporter
k141_53900_4	Multiple resistance and pH regulation protein F
k141_53900_6	Domain related to MnhB subunit of Na+/H+ antiporter
k141_53900_7	oxidoreductase, chain 4L
k141_53900_8	PFAM NADH Ubiquinone plastoquinone
k141_53900_9	PFAM NADH Ubiquinone plastoquinone
k141_53900_10	PFAM NADH Ubiquinone plastoquinone (complex I)
k141_53900_11	PFAM NADH Ubiquinone plastoquinone (complex I)
k141_271230_1	Subtilase family
k141_421569_1	Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen
k141_203094_1	Pyridoxal phosphate biosynthesis protein PdxJ
k141_203094_2	COG3103 SH3 domain protein
k141_203094_3	probably involved in intracellular septation
k141_422130_1	DNA RNA helicase
k141_422130_2	-
k141_422130_3	Ion channel
k141_422130_4	Haem-degrading
k141_422130_5	PFAM Cold-shock protein, DNA-binding
k141_422130_6	Fe-S cluster assembly protein SufE
k141_422130_7	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
k141_422130_8	PUA-like domain
k141_422130_9	HDOD domain
k141_422130_10	COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
k141_422130_12	-
k141_422130_13	FAD linked
k141_422130_14	Protein of unknown function (DUF2914)
k141_422130_15	-
k141_422130_19	cytochrome c peroxidase
k141_203251_1	N-terminal domain of oxidoreductase
k141_203502_2	protein methyltransferase activity
k141_55232_1	Belongs to the WrbA family
k141_55232_2	Arsenate reductase and related
k141_55232_4	Virulence factor BrkB
k141_55232_5	COG0526 Thiol-disulfide isomerase and thioredoxins
k141_55232_6	Thioredoxin-like
k141_55232_7	Outer membrane efflux protein
k141_55232_9	acylphosphatase
k141_55232_10	Metallo-beta-lactamase superfamily
k141_55232_11	Belongs to the acetylglutamate kinase family. ArgB subfamily
k141_55232_12	phosphoglucomutase phosphomannomutase alpha beta alpha domain I
k141_55232_13	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA
k141_55232_14	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine
k141_55232_15	Belongs to the UPF0758 family
k141_55232_16	Belongs to the bacterial ribosomal protein bL28 family
k141_55232_17	there are paralogous genes in several bacterial genomes, and a CXXC motif for zinc binding and an upstream regulation region of the paralog lacking this motif that are regulated by zinc
k141_55232_18	PFAM Fatty acid desaturase
k141_55232_19	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
k141_55232_20	Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S
k141_55232_21	COG2104 Sulfur transfer protein involved in thiamine biosynthesis
k141_55232_22	Phosphate-selective porin O and P
k141_55232_26	-
k141_55232_27	Oxidoreductase FAD-binding domain
k141_55232_28	TIGRFAM dihydroorotase, multifunctional complex type
k141_55232_29	Belongs to the ATCase OTCase family
k141_55232_30	phosphoribosyltransferase
k141_55232_31	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA
k141_55232_32	Belongs to the UPF0301 (AlgH) family
k141_55232_33	COG0226 ABC-type phosphate transport system, periplasmic component
k141_55232_35	Belongs to the prokaryotic GSH synthase family
k141_55232_36	glutamate--cysteine ligase
k141_55232_37	response regulator
k141_55232_38	response regulator receiver
k141_55232_39	PFAM CheW domain protein
k141_55232_40	chemotaxis
k141_55232_41	response regulator receiver
k141_55232_42	Two component signalling adaptor domain
k141_55232_44	-
k141_130536_8	Phosphate-selective porin O and P
k141_55541_1	Transposase IS66 family
k141_55541_2	Protein of unknown function (DUF1640)
k141_55541_3	Murein-degrading enzyme that degrades murein glycan strands and insoluble, high-molecular weight murein sacculi, with the concomitant formation of a 1,6-anhydromuramoyl product. Lytic transglycosylases (LTs) play an integral role in the metabolism of the peptidoglycan (PG) sacculus. Their lytic action creates space within the PG sacculus to allow for its expansion as well as for the insertion of various structures such as secretion systems and flagella
k141_55541_5	DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity
k141_55541_10	Dynamin family
k141_55541_11	Sterol carrier protein
k141_55541_12	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
k141_55541_13	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_55541_15	antisigma factor binding
k141_55541_16	involved in chromosome partitioning
k141_55541_17	-
k141_55541_18	PFAM 5'-nucleotidase
k141_55541_19	COG1226 Kef-type K transport systems
k141_55541_22	TIGRFAM lysine 2,3-aminomutase YodO family protein
k141_55541_23	Involved in peptide bond synthesis. Alleviates ribosome stalling that occurs when 3 or more consecutive Pro residues or the sequence PPG is present in a protein, possibly by augmenting the peptidyl transferase activity of the ribosome. Modification of Lys-34 is required for alleviation
k141_55541_24	tRNA synthetases class II (D, K and N)
k141_55541_25	Belongs to the phosphatidylserine decarboxylase family. PSD-B subfamily. Prokaryotic type I sub-subfamily
k141_55541_26	Serine-pyruvate aminotransferase archaeal aspartate aminotransferase
k141_55541_27	4Fe-4S dicluster domain
k141_55541_28	FAD binding domain
k141_55541_29	FAD linked oxidase
k141_55541_30	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
k141_55541_31	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine
k141_55541_32	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
k141_55541_33	PFAM Prephenate dehydratase
k141_55541_34	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily
k141_55541_35	PFAM Prephenate dehydrogenase
k141_55541_36	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate
k141_55541_37	Belongs to the cytidylate kinase family. Type 1 subfamily
k141_55541_38	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
k141_55541_39	This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control
k141_55541_40	Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane
k141_55541_41	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)
k141_55541_42	competence protein ComEA
k141_55541_44	Beta-Casp domain
k141_272796_2	PFAM Transposase
k141_345597_1	to GP 6723233
k141_345597_10	Protein of unknown function (DUF1428)
k141_345597_19	MatE
k141_273273_1	Transposase IS66 family
k141_498401_2	-
k141_204789_1	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)
k141_131546_1	alkaline phosphatase
k141_131546_2	ATPase, P-type, K Mg Cd Cu Zn Na Ca Na H-transporter
k141_131546_4	Glutaredoxin
k141_131546_6	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
k141_131546_7	Rhomboid family
k141_131546_8	type III restriction enzyme, res subunit
k141_273906_3	-
k141_273906_4	Bacterial DNA-binding protein
k141_205986_3	addiction module killer protein
k141_205986_4	addiction module antidote protein
k141_205986_5	-
k141_58222_2	protein domain associated with
k141_58222_4	Catalyzes the reversible phosphorylation of S-methyl-5'- thioinosine (MTI) to hypoxanthine and 5-methylthioribose-1- phosphate. Involved in the breakdown of S-methyl-5'-thioadenosine (MTA), a major by-product of polyamine biosynthesis. Catabolism of (MTA) occurs via deamination to MTI and phosphorolysis to hypoxanthine
k141_58222_5	phosphoribosyltransferase
k141_58222_6	Sulfotransferase
k141_58222_7	Protein of unknown function (DUF98)
k141_58222_10	SMART Elongator protein 3 MiaB NifB
k141_275679_1	PFAM Transposase IS200 like
k141_347826_2	Belongs to the SfsA family
k141_347826_3	lipoprotein releasing system, transmembrane protein, LolC E family
k141_347826_4	Part of the ABC transporter complex LolCDE involved in the translocation of
k141_347826_5	Uncharacterized protein conserved in bacteria (DUF2062)
k141_347826_6	DNA internalization-related competence protein ComEC Rec2
k141_347826_7	Belongs to the RimK family
k141_347826_10	PFAM 20S proteasome, A and B subunits
k141_347826_11	Circularly permuted ATP-grasp type 2
k141_347826_12	A predicted alpha-helical domain with a conserved ER motif.
k141_347826_13	Bacterial transglutaminase-like N-terminal
k141_347826_14	Belongs to the glycosyl hydrolase 13 family
k141_347826_15	TIGRFAM malto-oligosyltrehalose trehalohydrolase
k141_207353_2	Flavocytochrome c sulphide dehydrogenase, flavin-binding
k141_207353_3	Cytochrome C oxidase, cbb3-type, subunit III
k141_207353_4	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_207353_5	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
k141_207353_6	-
k141_207353_8	carbamoyl transferase, NodU family
k141_207353_13	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
k141_426426_8	Pfam:Methyltransf_26
k141_426426_15	-
k141_347933_7	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
k141_347933_8	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome
k141_347933_9	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs
k141_347933_10	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA
k141_347933_11	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
k141_347933_12	Participates in both transcription termination and antitermination
k141_347933_13	Required for maturation of 30S ribosomal subunits
k141_347933_14	L,D-transpeptidase catalytic domain
k141_347933_15	PFAM Flagellar hook-length control protein
k141_501378_2	COG0500 SAM-dependent methyltransferases
k141_501378_3	COG1910 Periplasmic molybdate-binding protein domain
k141_501378_9	DNA-dependent DNA replication
k141_501378_10	23S rRNA-intervening sequence protein
k141_426785_2	Protein of unknown function (DUF533)
k141_501689_1	Uncharacterized protein conserved in bacteria (DUF2325)
k141_501689_5	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins
k141_501689_6	Phosphoribosyl transferase domain
k141_501689_7	Belongs to the Nudix hydrolase family
k141_501689_11	pfam ammecr1
k141_501689_12	Belongs to the MEMO1 family
k141_501689_14	HpcH/HpaI aldolase/citrate lyase family
k141_501689_15	Belongs to the HpcH HpaI aldolase family
k141_501689_18	Histidine kinase
k141_501689_19	Diguanylate cyclase
k141_501689_21	-
k141_501689_22	-
k141_501689_23	cytochrome
k141_501689_24	cytochrome
k141_501689_25	Belongs to the HesB IscA family
k141_501689_26	Regulates the transcription of several operons and genes involved in the biogenesis of Fe-S clusters and Fe-S-containing proteins
k141_501689_28	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
k141_501689_29	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
k141_501689_32	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
k141_501689_35	PFAM Phosphoglycerate mutase
k141_501689_37	Specifically methylates the guanosine in position 1516 of 16S rRNA
k141_501689_38	Diguanylate cyclase
k141_501689_39	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
k141_501689_40	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
k141_501689_41	Preprotein translocase, YajC subunit
k141_501689_42	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)
k141_501689_43	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)
k141_501689_44	Belongs to the peptidase S41A family
k141_501689_45	PFAM glycosyl transferase family 35
k141_501689_46	PFAM glycoside hydrolase, family 77
k141_501689_48	Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans
k141_501689_52	6-phosphogluconolactonase
k141_501689_53	Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone
k141_501689_54	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
k141_501689_55	Synthesizes alpha-1,4-glucan chains using ADP-glucose
k141_501689_56	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine
k141_501689_71	COG0463 Glycosyltransferases involved in cell wall biogenesis
k141_134750_5	Transglutaminase-like superfamily
k141_134750_6	Belongs to the PEP-utilizing enzyme family
k141_134750_7	Accelerates the degradation of transcripts by removing pyrophosphate from the 5'-end of triphosphorylated RNA, leading to a more labile monophosphorylated state that can stimulate subsequent ribonuclease cleavage
k141_134750_8	Phosphoserine phosphatase
k141_134750_9	PFAM ABC transporter
k141_134750_12	Peroxidase
k141_134750_13	Peptidase, M16
k141_134750_14	oxidoreductase activity
k141_134750_17	SAICAR synthetase
k141_134750_18	Transposase IS66 family
k141_501794_18	Integrase core domain protein
k141_501794_23	Gliding motility protein GldG
k141_501794_24	CcmB protein
k141_501794_25	ABC transporter, ATP-binding protein
k141_501794_30	Domain of unknown function (DUF4143)
k141_59687_1	Permease
k141_59687_2	-
k141_59687_3	transcriptional regulator
k141_59687_4	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_59687_5	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
k141_59687_6	Cache_2
k141_59687_7	DNA polymerase III, chi subunit
k141_59687_9	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner
k141_59687_10	Protein of unknown function (DUF2970)
k141_59687_11	PFAM Rieske 2Fe-2S
k141_59687_12	-
k141_59687_14	Sel1 domain protein repeat-containing protein
k141_59687_15	serine threonine protein kinase
k141_59687_16	TIGRFAM outer membrane autotransporter barrel
k141_59687_17	Alpha/beta hydrolase family
k141_59687_21	Belongs to the Nudix hydrolase family
k141_208287_1	Putative transposase
k141_208287_2	Putative transposase
k141_59953_1	Involved in the binding of tRNA to the ribosomes
k141_59953_2	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
k141_59953_3	Forms part of the polypeptide exit tunnel
k141_59953_4	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome
k141_59953_5	Ribosomal Proteins L2, C-terminal domain
k141_427592_1	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
k141_427592_2	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
k141_427592_3	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA
k141_427592_4	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit
k141_427592_5	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_427592_6	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_427592_7	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
k141_427592_8	Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors
k141_427592_9	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release
k141_427592_10	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
k141_427592_11	Participates in transcription elongation, termination and antitermination
k141_427592_12	Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation
k141_427592_13	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
k141_60472_2	ChrR Cupin-like domain
k141_277644_2	Responsible for synthesis of pseudouridine from uracil
k141_277644_3	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
k141_277644_4	Type II transport protein GspH
k141_60814_1	transposase activity
k141_60814_2	-
k141_60814_5	Belongs to the UPF0251 family
k141_60814_6	PFAM Dinitrogenase iron-molybdenum cofactor
k141_60814_7	PFAM Cobyrinic acid a,c-diamide synthase
k141_60814_8	PFAM Cobyrinic acid a,c-diamide synthase
k141_60814_10	-
k141_60814_11	Domain of unknown function DUF302
k141_60814_12	Protein of unknown function (DUF3530)
k141_61073_6	PFAM integrase
k141_61073_7	Transposase
k141_61512_2	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_61512_3	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_136817_1	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth
k141_278689_2	Binding-protein-dependent transport system inner membrane component
k141_350716_10	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit contributes ATPase, 3'-5' helicase, exonuclease activity and loads RecA onto ssDNA
k141_62251_1	Accelerates the degradation of transcripts by removing pyrophosphate from the 5'-end of triphosphorylated RNA, leading to a more labile monophosphorylated state that can stimulate subsequent ribonuclease cleavage
k141_62251_2	Belongs to the PEP-utilizing enzyme family
k141_137401_2	Belongs to the RtcB family
k141_137401_3	Beta-lactamase superfamily domain
k141_137401_6	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate. Also shows phosphatase, 2'- nucleotidase and 2',3'-cyclic phosphodiesterase activities. These phosphohydrolase activities are probably involved in the repair of the tRNA 3'-CCA terminus degraded by intracellular RNases
k141_137401_7	pterin-4-alpha-carbinolamine dehydratase
k141_137401_8	Histidine kinase
k141_137401_9	response regulator
k141_137401_10	PFAM Rhodanese-like
k141_137401_12	Belongs to the sulfur carrier protein TusA family
k141_137401_13	DsrE/DsrF/DrsH-like family
k141_137401_16	signal transduction protein
k141_137401_17	Catalyzes the oxidation of L-aspartate to iminoaspartate
k141_137401_18	Belongs to the sigma-70 factor family. ECF subfamily
k141_137401_19	PFAM Anti sigma-E protein RseA
k141_137401_20	PFAM MucB RseB
k141_137401_21	PFAM Positive regulator of sigma(E) RseC MucC
k141_137401_22	Belongs to the peptidase S1C family
k141_137401_23	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner
k141_137401_24	Belongs to the peptidase S26 family
k141_137401_25	Domain of unknown function (DUF4845)
k141_137401_26	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism
k141_137401_27	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
k141_137401_30	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
k141_137401_31	Uncharacterised signal transduction histidine kinase domain (DUF2222)
k141_137401_33	Belongs to the cysteine synthase cystathionine beta- synthase family
k141_137401_35	Protein of unknown function (DUF1318)
k141_137401_36	3'-5' exonuclease
k141_137401_37	Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA
k141_137401_38	PFAM conserved
k141_137401_39	ABC transporter
k141_137401_40	mechanosensitive ion channel
k141_137401_47	Cellulose biosynthesis protein BcsQ
k141_137401_48	pfam chad
k141_137401_49	PFAM glycosyl transferase family 35
k141_137401_51	PFAM Na Picotransporter
k141_137401_52	Belongs to the universal stress protein A family
k141_137401_55	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)
k141_137401_62	Cytochrome c class I
k141_137401_63	Flavocytochrome c sulphide dehydrogenase, flavin-binding
k141_137401_65	PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein
k141_137401_69	PilZ domain
k141_137401_71	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate
k141_137401_73	Belongs to the sigma-70 factor family. ECF subfamily
k141_137401_74	von willebrand factor, type A
k141_210675_3	Integrating conjugative element protein
k141_279471_1	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_279471_2	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
k141_279471_3	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_279471_4	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
k141_430612_3	methyl-accepting chemotaxis protein
k141_430612_4	Response regulator receiver protein
k141_430612_6	Signal transducing histidine kinase, homodimeric domain
k141_430612_10	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP
k141_430612_12	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR
k141_505818_4	PFAM IS1 transposase
k141_505818_6	Cytochrome B561
k141_505818_7	Glutathione S-Transferase
k141_505818_9	transcriptional regulator
k141_505818_12	Transposase
k141_505818_14	Helix-turn-helix domain of resolvase
k141_281868_1	Multicopper oxidase
k141_213954_3	transcriptional regulator
k141_213954_5	Domain of unknown function (DUF4389)
k141_354194_1	Inner membrane component of T3SS, cytoplasmic domain
k141_354194_2	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
k141_354519_2	Transglutaminase
k141_354519_3	Circularly permuted ATP-grasp type 2
k141_354519_4	Inner membrane protein PRK11099
k141_354519_5	Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)
k141_354519_6	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1
k141_354519_7	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons
k141_354519_8	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin
k141_354519_9	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
k141_354519_10	riboflavin synthase, alpha subunit
k141_354519_11	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate
k141_354519_12	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes
