isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup67830_c4_g3	C21orf33 Chromosome 21 open reading frame 33
isogroup67848_c0_g1	ZNF622 ribosomal large subunit biogenesis
isogroup67848_c0_g2	 C2H2 type zinc-finger (2 copies)
isogroup67829_c2_g1	 positive regulation of Golgi to plasma membrane protein transport
isogroup67829_c3_g1	 positive regulation of Golgi to plasma membrane protein transport
isogroup67823_c0_g1	COA1 Cytochrome c oxidase assembly factor 1 homolog
isogroup67891_c0_g1	PGPEP1 pyroglutamyl-peptidase activity
isogroup67885_c0_g1	bud31 BUD31 homolog
isogroup67858_c0_g1	AKAP14 protein kinase A binding
isogroup67807_c0_g1	MIPEP Mitochondrial intermediate peptidase
isogroup67849_c4_g1	GTF3C5 general transcription factor
isogroup67849_c4_g2	 AAA domain
isogroup67849_c5_g1	T T, brachyury homolog b
isogroup67897_c3_g1	MAP3K7 MAP kinase kinase kinase activity
isogroup67838_c6_g2	 It is involved in the biological process described with signal transduction
isogroup67838_c8_g2	RPL12 ribosomal large subunit assembly
isogroup67838_c8_g3	RPL12 ribosomal large subunit assembly
isogroup70543_c0_g1	RAB35 plasma membrane to endosome transport
isogroup70543_c1_g1	RAB35 plasma membrane to endosome transport
isogroup70543_c1_g2	RAB35 plasma membrane to endosome transport
isogroup70502_c0_g1	LRRC71 Leucine-rich repeat-containing protein 71
isogroup70523_c9_g1	ZPR1 pre-mRNA catabolic process
isogroup70591_c1_g1	 protein heterodimerization activity
isogroup70547_c0_g1	 Serpentine type 7TM GPCR chemoreceptor Srbc
isogroup70526_c0_g6	 dihydrosphingosine-1-phosphate phosphatase activity
isogroup70550_c5_g2	MAP3K2 Mitogen-activated protein kinase kinase kinase
isogroup70550_c5_g1	MAP3K2 Mitogen-activated protein kinase kinase kinase
isogroup70550_c5_g5	MAP3K2 Mitogen-activated protein kinase kinase kinase
isogroup70511_c0_g1	ECHDC2 methylglutaconyl-CoA hydratase activity
isogroup70595_c3_g1	AIMP2 complex-interacting multifunctional protein 2
isogroup70560_c3_g1	RpS11 rRNA binding
isogroup70560_c5_g1	PFDN2 prefoldin subunit 2
isogroup70560_c5_g3	RPL23 large ribosomal subunit rRNA binding
isogroup70584_c0_g1	FAM154B Family with sequence similarity 154, member B
isogroup70541_c2_g1	HSPBP1 HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1
isogroup70555_c2_g2	Mfap1 Microfibril-associated/Pre-mRNA processing
isogroup70555_c2_g1	MFAP1 Microfibrillar-associated protein 1
isogroup70524_c0_g1	 nucleolar and coiled-body phosphoprotein 1
isogroup70525_c0_g1	 ubiE/COQ5 methyltransferase family
isogroup70525_c1_g1	LACE1 AFG1-like ATPase
isogroup70525_c2_g1	MRPS18B ribosomal protein S18B
isogroup70505_c0_g1	MND1 homologous recombination
isogroup70505_c2_g2	ZNRF2 zinc and ring finger
isogroup70518_c0_g1	ADPGK ADP-specific glucokinase activity
isogroup70518_c0_g2	NAA60 N-acetyltransferase 15 (GCN5-related
isogroup70522_c0_g1	 Ankyrin repeats (many copies)
isogroup70538_c2_g1	 lipid metabolic process
isogroup70538_c3_g3	PRDX4 C-terminal domain of 1-Cys peroxiredoxin
isogroup70553_c1_g2	RAB7A RAB7A, member RAS oncogene family
isogroup70559_c0_g1	CEP41 Centrosomal protein
isogroup70572_c0_g1	RFC2 Replication factor C C-terminal domain
isogroup70576_c0_g2	AGBL4 ATP GTP binding protein-like 4
isogroup70576_c0_g4	PTPRQ Protein tyrosine phosphatase, catalytic domain
isogroup70575_c0_g2	 Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup70513_c0_g1	NAA20 N-terminal peptidyl-methionine acetylation
isogroup70590_c8_g1	FAM32A apoptotic process
isogroup70545_c0_g1	SBDS Ribosome maturation protein
isogroup70542_c1_g1	CCDC101 methylated histone binding
isogroup70579_c0_g1	 zinc ion binding
isogroup70579_c0_g2	 zinc ion binding
isogroup70579_c0_g3	 zinc ion binding
isogroup70570_c0_g3	RPLP2 translational elongation
isogroup70558_c4_g1	SNRNP70 U1 snRNA binding
isogroup70558_c5_g2	EXOSC1 Putative DNA-binding domain
isogroup70558_c9_g1	SC5D Belongs to the sterol desaturase family
isogroup70551_c0_g1	MRPS35 ribosomal protein S35
isogroup70551_c1_g1	CCDC124 cell division
isogroup70551_c1_g2	Alg13 UDP-N-acetylglucosamine transferase subunit ALG13 homolog
isogroup70510_c0_g3	PSKH1 kinase H1
isogroup70507_c0_g1	NDUFAF5 peptidyl-arginine hydroxylation
isogroup70581_c0_g2	AHSA1 AHA1, activator of heat shock protein ATPase homolog 1, like
isogroup70581_c0_g3	AHSA1 AHA1, activator of heat shock protein ATPase homolog 1, like
isogroup70536_c5_g1	VWA9 snRNA metabolic process
isogroup70564_c0_g1	TTI2 Tti2 family
isogroup70506_c0_g1	 Inositol phospholipid synthesis and fat-storage-inducing TM
isogroup70549_c0_g1	 guanine deaminase activity
isogroup70549_c0_g3	 guanine deaminase activity
isogroup70567_c2_g1	ATG3 Autophagy-related protein 3
isogroup70554_c0_g9	 K02A2.6-like
isogroup70554_c0_g5	 K02A2.6-like
isogroup70587_c2_g3	 NAD dependent epimerase/dehydratase family
isogroup70587_c2_g5	 Galactose oxidase, central domain
isogroup70587_c3_g1	 Protein tyrosine kinase
isogroup70562_c1_g1	SACS negative regulation of inclusion body assembly
isogroup70515_c0_g1	htl Fibroblast growth factor receptor
isogroup70582_c2_g1	SLC15A4 histidine transport
isogroup70503_c1_g1	OVCA2 hydrolase activity
isogroup70596_c0_g1	RAG1 V(D)J recombination-activating protein 1
isogroup70597_c3_g1	BRAP BRCA1 associated protein
isogroup70597_c4_g2	NCALD Neuron-specific calcium-binding protein hippocalcin
isogroup70546_c4_g1	POLB polymerase (DNA directed), beta
isogroup70509_c0_g1	 Sir2 family
isogroup70563_c0_g1	DHDDS polyprenol biosynthetic process
isogroup70532_c0_g1	PRKX cAMP-dependent protein kinase activity
isogroup70594_c3_g1	NOP14 snoRNA binding
isogroup70586_c0_g1	 Heat shock cognate
isogroup70586_c1_g1	 suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
isogroup70586_c1_g2	hsp70 heat shock
isogroup70586_c1_g3	 suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
isogroup70527_c1_g1	KIAA1731 positive regulation of organelle assembly
isogroup70533_c3_g1	 high mobility group
isogroup70533_c4_g2	 ABC transporter
isogroup70533_c5_g1	GULP1 phagocytosis
isogroup70577_c2_g1	 Glutamate-rich 3
isogroup70577_c2_g2	 Glutamate-rich 3
isogroup70577_c4_g1	DNAJC21 homolog subfamily C member
isogroup70593_c3_g1	 K02A2.6-like
isogroup70568_c3_g1	 prohibitin homologues
isogroup70568_c3_g2	STOM regulation of acid-sensing ion channel activity
isogroup70568_c3_g3	STOM regulation of acid-sensing ion channel activity
isogroup70568_c3_g7	STOM regulation of acid-sensing ion channel activity
isogroup70516_c0_g2	ZDHHC5 Belongs to the DHHC palmitoyltransferase family
isogroup99700_c0_g1	 K02A2.6-like
isogroup99760_c0_g1	PIWIL1 Belongs to the argonaute family
isogroup99719_c0_g1	COMMD6 COMM domain-containing protein
isogroup26033_c0_g1	LRRC23 Leucine-rich repeat
isogroup26045_c0_g1	GNPDA1 Glucosamine-6-phosphate deaminase 1
isogroup26038_c0_g1	FSCN1 actin filament bundle assembly
isogroup44942_c0_g1	 protein tyrosine phosphatase activity
isogroup44915_c0_g1	BRD7 lysine-acetylated histone binding
isogroup44901_c0_g1	 nicotinamide riboside catabolic process
isogroup44931_c0_g1	CHMP2A negative regulation of centriole elongation
isogroup44920_c0_g1	IFT22 GTP binding
isogroup57555_c0_g3	PRKDC DNA-dependent protein kinase activity
isogroup57526_c0_g2	 splicing factor
isogroup57554_c0_g1	YWHAG insulin-like growth factor receptor binding
isogroup57517_c0_g1	 type 2A serotonin receptor binding
isogroup57529_c0_g1	 ATP-dependent microtubule motor activity, minus-end-directed
isogroup57542_c0_g1	U2AF1 pre-mRNA 3'-splice site binding
isogroup57599_c0_g1	PRDX5 peroxiredoxin activity
isogroup57573_c1_g1	Fdh Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
isogroup57547_c0_g1	NCBP2 mRNA cis splicing, via spliceosome
isogroup57556_c0_g4	 zinc ion binding. It is involved in the biological process described with proteolysis
isogroup57538_c0_g2	eIF-1A translation initiation factor activity
isogroup57584_c0_g2	 transposition, RNA-mediated
isogroup57513_c0_g1	 ATP-dependent microtubule motor activity, minus-end-directed
isogroup57508_c0_g1	DDHD1 DDHD domain containing
isogroup57530_c0_g1	DEGS1 sphingolipid delta-4 desaturase activity
isogroup57560_c0_g1	 Glutathione S-transferase, N-terminal domain
isogroup57582_c0_g1	 GTPase-activator protein for Rho-like GTPases
isogroup57589_c0_g1	PMM1 phosphomannomutase activity
isogroup57552_c0_g1	PSMB6 threonine-type endopeptidase activity
isogroup57581_c0_g1	 electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity
isogroup57581_c0_g2	 Iron ion binding
isogroup92030_c0_g1	 Displays phosphatase activity for serine threonine residues, and dephosphorylates and activates Pk92B kinase. Has apparently no phosphoglycerate mutase activity
isogroup92096_c0_g1	 Si dkey-24l11.2
isogroup92001_c0_g1	 zinc ion binding
isogroup83482_c0_g1	EIF3F translation initiation factor activity
isogroup83448_c0_g1	 K02A2.6-like
isogroup83470_c0_g1	DBLOX peroxidase activity
isogroup83487_c0_g1	LYSMD2 
isogroup52370_c0_g1	RPS8 Belongs to the eukaryotic ribosomal protein eS8 family
isogroup52359_c0_g1	PSMA1 threonine-type endopeptidase activity
isogroup52307_c0_g1	 Cystatin-like domain
isogroup52345_c0_g1	RPL14 ribosomal protein
isogroup52357_c0_g1	 Belongs to the isocitrate and isopropylmalate dehydrogenases family
isogroup52308_c0_g1	 zinc ion binding. It is involved in the biological process described with glutathione biosynthetic process
isogroup52320_c0_g4	 Belongs to the helicase family
isogroup52340_c0_g1	 Phosphatidylethanolamine-binding protein
isogroup52398_c0_g1	IFT140 intraflagellar transport
isogroup52382_c0_g1	RpL11 Belongs to the universal ribosomal protein uL5 family
isogroup52335_c0_g1	COPZ1 Coatomer protein complex, subunit zeta 1
isogroup52350_c0_g2	SDR16C5 Belongs to the short-chain dehydrogenases reductases (SDR) family
isogroup52360_c0_g1	 ethanolamine-phosphate phospho-lyase activity
isogroup52352_c0_g1	GSS glutathione synthase activity
isogroup52389_c0_g1	 Glycosyl hydrolase family 7
isogroup52304_c0_g1	PUF60 poly-U binding splicing factor
isogroup52306_c0_g1	P4HA2 procollagen-proline 4-dioxygenase activity
isogroup41740_c0_g1	CTDSP1 (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase
isogroup41778_c0_g1	CDC20 Cell division cycle
isogroup41758_c0_g1	TXNDC17 protein-disulfide reductase activity
isogroup41747_c0_g1	IFI30 antigen processing and presentation of exogenous peptide antigen via MHC class I
isogroup41772_c0_g1	 Molecular calcium-binding chaperone promoting folding, oligomeric assembly and quality control in the ER via the calreticulin calnexin cycle. This lectin may interact transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER (By similarity)
isogroup41776_c0_g1	EIF5 translation initiation factor activity
isogroup41735_c0_g1	 Gamma interferon inducible lysosomal thiol reductase (GILT)
isogroup41761_c0_g1	SLC25A29 mitochondrial L-ornithine transmembrane transport
isogroup41703_c0_g1	GNB4 Guanine nucleotide-binding protein subunit beta-4
isogroup87329_c0_g1	SLC37A1 Solute carrier family 37
isogroup87389_c0_g1	 Vacuolar Protein
isogroup87317_c0_g1	SUCLG1 succinate-CoA ligase (GDP-forming) activity
isogroup87387_c0_g1	 anaphase-promoting complex binding
isogroup87350_c0_g1	 It is involved in the biological process described with tRNA aminoacylation for protein translation
isogroup87378_c0_g1	FGFR1OP2 wound healing
isogroup87336_c0_g1	EFHB family, member B
isogroup87362_c0_g1	 DDE superfamily endonuclease
isogroup11269_c0_g1	FAM49B Family with sequence similarity 49, member
isogroup11290_c0_g1	MGLL Monoglyceride lipase
isogroup11213_c0_g1	 fructose-bisphosphate aldolase
isogroup11281_c0_g1	UQCRC2 protein processing involved in protein targeting to mitochondrion
isogroup11295_c0_g1	CTSZ Belongs to the peptidase C1 family
isogroup11271_c0_g1	USP28 Belongs to the peptidase C19 family
isogroup89455_c0_g1	COG5 oligomeric golgi complex
isogroup89414_c0_g1	SPAG7 nucleic acid binding
isogroup89451_c0_g1	 K02A2.6-like
isogroup89457_c0_g1	 neurotransmitter transport
isogroup46484_c0_g1	C21orf33 ES1 protein homolog, mitochondrial
isogroup46408_c0_g1	 calcineurin-NFAT signaling cascade
isogroup46437_c0_g1	 Rho guanyl-nucleotide exchange factor activity
isogroup46433_c0_g1	CCNL1 positive regulation of phosphorylation of RNA polymerase II C-terminal domain
isogroup46479_c0_g2	Unc-89 Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with protein phosphorylation
isogroup46418_c0_g1	RABGGTB Rab geranylgeranyltransferase, beta subunit
isogroup46487_c0_g2	HINT2 Histidine triad nucleotide-binding protein 2
isogroup54291_c0_g1	PIWIL1 Belongs to the argonaute family
isogroup54284_c0_g1	ACACB acetyl-CoA carboxylase
isogroup54292_c0_g1	 K02A2.6-like
isogroup54263_c0_g2	 Cytochrome P450, family 46, subfamily A, polypeptide
isogroup54278_c0_g1	NOP58 Nucleolar protein 58
isogroup54288_c0_g1	OLA1 Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP
isogroup54269_c0_g1	SPAST negative regulation of collateral sprouting in absence of injury
isogroup16127_c0_g1	 neurotrophin receptor activity
isogroup16147_c0_g1	Cpsf100 It is involved in the biological process described with mRNA cleavage
isogroup16176_c0_g1	SLC15A1 oligopeptide transmembrane transporter activity
isogroup93562_c0_g1	DYNC1I1 regulation of ATP-dependent microtubule motor activity, plus-end-directed
isogroup68872_c0_g1	 SH3/SH2 adaptor activity
isogroup68848_c5_g1	EIF3C translation initiation factor binding
isogroup68848_c5_g3	EIF3C translation initiation factor binding
isogroup68848_c6_g1	 Filamin C, gamma
isogroup68827_c2_g1	POLR1A negative regulation of protein localization to nucleolus
isogroup68868_c0_g1	 homophilic cell adhesion via plasma membrane adhesion molecules
isogroup68860_c0_g1	CEP290 Centrosomal protein of 290 kDa
isogroup68888_c1_g2	CDC34 protein modification by small protein conjugation
isogroup68808_c1_g1	SACS negative regulation of inclusion body assembly
isogroup68808_c1_g2	SACS negative regulation of inclusion body assembly
isogroup68808_c1_g3	SACS negative regulation of inclusion body assembly
isogroup68808_c1_g5	SACS negative regulation of inclusion body assembly
isogroup68808_c1_g7	SACS negative regulation of inclusion body assembly
isogroup68808_c1_g10	sacs Sacsin molecular chaperone
isogroup68812_c0_g3	DYNLT1 intracellular protein transport in other organism involved in symbiotic interaction
isogroup68812_c0_g1	DYNLT1 intracellular protein transport in other organism involved in symbiotic interaction
isogroup68875_c2_g1	CHDC2 
isogroup68875_c3_g1	YRDC YrdC domain-containing protein
isogroup68825_c0_g1	 heme binding
isogroup68825_c0_g2	 heme binding
isogroup68831_c0_g2	POFUT2 O-fucosyltransferase 2
isogroup68832_c2_g2	LMBR1L endocytosis
isogroup68832_c3_g1	 receptor-associated protein-like 2
isogroup68832_c3_g2	 receptor-associated protein-like 2
isogroup68805_c4_g3	P4HB protein disulfide isomerase activity
isogroup68805_c4_g4	 protein disulfide isomerase activity
isogroup68805_c5_g1	UBXN6 endosome to lysosome transport via multivesicular body sorting pathway
isogroup68883_c1_g1	MCFD2 calcium ion binding
isogroup68846_c1_g1	USP21 Ubiquitin specific peptidase 21
isogroup68857_c12_g1	Arp1 Actin
isogroup68882_c3_g2	GstT1 glutathione transferase activity
isogroup68865_c3_g1	crt-1 Molecular calcium-binding chaperone promoting folding, oligomeric assembly and quality control in the ER via the calreticulin calnexin cycle. This lectin may interact transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER (By similarity)
isogroup68865_c8_g1	SRSF2 response to vitamin E
isogroup68839_c0_g1	ZMYND10 positive regulation of motile cilium assembly
isogroup68869_c0_g1	 activation of NF-kappaB-inducing kinase activity
isogroup68881_c8_g5	PSAP Prosaposin
isogroup68836_c2_g5	 ADP-specific glucokinase activity
isogroup68841_c2_g1	GOT1 Glutamic-oxaloacetic transaminase 1
isogroup68828_c0_g1	ADAMTS9 A disintegrin and metalloproteinase with thrombospondin motifs 9
isogroup68828_c0_g2	ADAMTS19 A disintegrin and metalloproteinase with thrombospondin motifs 19
isogroup68811_c6_g1	 NACHT and WD repeat
isogroup68811_c6_g3	 NACHT and WD repeat
isogroup68802_c4_g2	dos PH domain
isogroup68830_c0_g1	SACS negative regulation of inclusion body assembly
isogroup68829_c1_g1	PSMB3 threonine-type endopeptidase activity
isogroup68810_c0_g1	 protein tyrosine phosphatase activity
isogroup68895_c0_g1	 sulfotransferase 15
isogroup68817_c0_g2	HAO1 very-long-chain-(S)-2-hydroxy-acid oxidase activity
isogroup68817_c0_g1	HAO1 very-long-chain-(S)-2-hydroxy-acid oxidase activity
isogroup68879_c2_g1	 ATPase activity, coupled to transmembrane movement of substances
isogroup68801_c0_g1	 neurogenic locus notch homolog protein
isogroup68845_c2_g1	 Heat shock 70 kDa protein cognate
isogroup68845_c3_g1	SPPL3 aspartic endopeptidase activity, intramembrane cleaving
isogroup68840_c0_g1	 PLAC8 family
isogroup68820_c0_g1	TIMM22 Mitochondrial import inner membrane translocase subunit
isogroup68844_c6_g1	gcs-1 glutamate-cysteine ligase activity
isogroup68870_c0_g1	 It is involved in the biological process described with positive regulation of protein dephosphorylation
isogroup68870_c0_g2	 Protein of unknown function (DUF498/DUF598)
isogroup68870_c0_g3	 Transmembrane protein 188
isogroup68824_c0_g1	 histone H3-K9 dimethylation
isogroup68849_c0_g1	Asic5 Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
isogroup68800_c4_g1	MVP regulation of signaling
isogroup68864_c0_g1	REXO2 Small fragment nuclease
isogroup68823_c1_g1	TMEM167A Involved in the early part of the secretory pathway
isogroup68823_c2_g1	LNX2 ligand of numb-protein X
isogroup68823_c2_g2	LNX2 ligand of numb-protein X
isogroup68894_c1_g1	 lipoprotein receptor-related protein
isogroup68889_c6_g2	 complement activation, classical pathway
isogroup68815_c3_g1	MRAS GTP-dependent protein binding
isogroup68884_c0_g1	TRUB1 mRNA pseudouridine synthesis
isogroup68866_c1_g2	 Deleted in malignant brain tumors 1
isogroup68866_c1_g6	SSC4D Scavenger receptor cysteine rich family
isogroup68866_c1_g1	LGALS3BP Galectin-3-binding protein
isogroup68866_c1_g10	 CD5 molecule-like
isogroup68851_c2_g3	ACOX1 acyl-Coenzyme A oxidase
isogroup68851_c2_g2	ACOX1 acyl-Coenzyme A oxidase
isogroup68851_c2_g5	ACOX1 acyl-Coenzyme A oxidase
isogroup68851_c2_g6	ACOX1 acyl-Coenzyme A oxidase
isogroup68874_c0_g1	 START domain
isogroup68897_c2_g2	RMI1 RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)
isogroup68897_c2_g3	MAPK7 negative regulation of ERK5 cascade
isogroup68854_c1_g3	Vps24 multivesicular body-lysosome fusion
isogroup68858_c1_g1	L3MBTL3 lethal(3)malignant brain tumor-like protein
isogroup68858_c1_g4	SSBP1 Single-stranded DNA binding protein 1
isogroup68858_c1_g5	SSBP1 Single-stranded DNA binding protein 1
isogroup68887_c4_g3	 Domain with 2 conserved Trp (W) residues
isogroup68838_c0_g2	ING3 inhibitor of growth
isogroup68871_c0_g1	TTC39C TeTratriCopeptide repeat
isogroup68871_c1_g1	 Galactose mutarotase-like
isogroup68871_c2_g1	TTC39C tetratricopeptide repeat
isogroup68804_c1_g1	SHKBP1 positive regulation of epidermal growth factor receptor signaling pathway
isogroup68852_c0_g1	MED6 RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
isogroup68852_c0_g4	YIPF4 Yip1 domain family, member 4
isogroup68880_c1_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup69178_c12_g1	ENOSF1 L-fuconate dehydratase activity
isogroup69178_c12_g2	ENOSF1 L-fuconate dehydratase activity
isogroup69112_c0_g2	POLR3F transcription by RNA polymerase III
isogroup69154_c0_g1	STRAP spliceosomal snRNP assembly
isogroup69196_c5_g1	ATMIN ATM interactor
isogroup69153_c0_g2	C12orf49 Chromosome 12 open reading frame 49
isogroup69124_c0_g1	RPL12 ribosomal large subunit assembly
isogroup69124_c0_g2	RPL12 ribosomal large subunit assembly
isogroup69124_c0_g3	RpL12 Belongs to the universal ribosomal protein uL11 family
isogroup69172_c1_g1	ARF1 GTP binding
isogroup69172_c1_g3	 Signal recognition particle receptor beta subunit
isogroup69104_c0_g1	BTK B cell affinity maturation
isogroup69118_c2_g2	WDR7 hematopoietic progenitor cell differentiation
isogroup69118_c3_g1	SS18L1 Calcium-responsive transactivator
isogroup69137_c2_g1	NUDT14 UDP-sugar diphosphatase activity
isogroup69137_c3_g1	OGFRL1 Opioid growth factor receptor (OGFr) conserved region
isogroup69137_c3_g5	YY1 response to prostaglandin F
isogroup69126_c0_g1	CDO1 cysteine dioxygenase activity
isogroup69126_c0_g2	HDGFL3 negative regulation of microtubule depolymerization
isogroup69175_c3_g1	Gdh glutamate dehydrogenase [NAD(P)+] activity
isogroup69188_c4_g1	PPIF regulation of proton-transporting ATPase activity, rotational mechanism
isogroup69188_c5_g2	PPIF regulation of proton-transporting ATPase activity, rotational mechanism
isogroup69176_c1_g1	 pineal gland development
isogroup69176_c2_g1	 pineal gland development
isogroup69138_c1_g1	ACVR1 endocardial cushion cell fate commitment
isogroup69138_c2_g1	GON4L B cell differentiation
isogroup69149_c0_g1	VTI1A vesicle fusion with Golgi apparatus
isogroup69149_c0_g2	VTI1A vesicle fusion with Golgi apparatus
isogroup69194_c0_g2	RpL10 embryonic brain development
isogroup69194_c3_g1	RpL10 embryonic brain development
isogroup69194_c3_g2	RpL10 embryonic brain development
isogroup69194_c3_g3	RpL10 Ribosomal protein L16p/L10e
isogroup69195_c9_g1	 Belongs to the 14-3-3 family
isogroup69171_c0_g1	SYCP1 Synaptonemal complex protein 1
isogroup69120_c0_g1	 regulation of translation
isogroup69106_c3_g4	 Alcohol dehydrogenase GroES-like domain
isogroup69193_c0_g1	ARFRP1 Belongs to the small GTPase superfamily. Arf family
isogroup69109_c0_g3	CDC16 protein modification by small protein conjugation
isogroup69140_c2_g2	RASEF RAS and EF-hand
isogroup69161_c3_g1	 Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
isogroup69105_c1_g1	POLD4 DNA synthesis involved in DNA repair
isogroup69136_c0_g2	 AIG1 family
isogroup69100_c0_g1	MSL1 histone H4-K16 acetylation
isogroup69157_c0_g1	 Natterin-like protein
isogroup69122_c0_g2	RBM34 RNA binding
isogroup69132_c1_g1	EIF4A2 negative regulation of RNA-directed 5'-3' RNA polymerase activity
isogroup69132_c3_g1	EIF4A2 negative regulation of RNA-directed 5'-3' RNA polymerase activity
isogroup69160_c1_g1	 Jerky protein homolog-like
isogroup69169_c0_g1	Prm Motor activity
isogroup69148_c3_g1	CORO7 Golgi to endosome transport
isogroup69148_c9_g2	MOB2 cellular developmental process
isogroup69156_c0_g1	 Down syndrome cell adhesion
isogroup69128_c0_g1	VPS28 protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
isogroup69170_c3_g1	DBR1 Debranching enzyme homolog 1 (S. cerevisiae)
isogroup69134_c4_g2	DPP7 dipeptidyl peptidase 2
isogroup69130_c0_g1	CHSY1 Chondroitin sulfate synthase
isogroup69110_c0_g1	EMC7 carbohydrate binding
isogroup69110_c0_g2	 Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
isogroup69110_c1_g2	ACTL6A cytoskeleton organization
isogroup69184_c0_g1	SRRM1 mRNA processing
isogroup69133_c8_g1	NAMPT nicotinamide phosphoribosyltransferase activity
isogroup69187_c3_g1	TCF12 bHLH transcription factor binding
isogroup69190_c8_g1	 Filamin C, gamma
isogroup69155_c1_g2	 zinc ion binding
isogroup69164_c0_g1	MTCH2 Belongs to the mitochondrial carrier (TC 2.A.29) family
isogroup69123_c2_g1	USP46 thiol-dependent ubiquitin-specific protease activity
isogroup69102_c0_g1	PKM pyruvate kinase activity
isogroup69181_c0_g1	 lipid catabolic process
isogroup69181_c0_g3	 lipid catabolic process
isogroup69165_c1_g1	 Latent-transforming growth factor beta-binding protein
isogroup69165_c1_g8	 Collagen triple helix repeat (20 copies)
isogroup69107_c0_g1	IDO1 Indoleamine 2,3-dioxygenase 1
isogroup69168_c1_g1	CNRIP1 CB1 cannabinoid receptor-interacting protein 1
isogroup69168_c2_g1	ZFYVE21 metal ion binding
isogroup69127_c0_g1	TOX4 DNA binding
isogroup69166_c4_g1	WDR73 WD repeat-containing protein
isogroup69166_c4_g5	PSMF1 proteasome binding
isogroup69166_c4_g6	DOLPP1 dolichyldiphosphatase activity
isogroup67193_c3_g1	PLCD4 Phospholipase C, delta 4a
isogroup67148_c4_g1	SERINC3 serine transport
isogroup67148_c6_g1	SERINC3 serine transport
isogroup67148_c6_g2	SERINC3 serine transport
isogroup67153_c9_g1	EXOSC4 polyadenylation-dependent snoRNA 3'-end processing
isogroup67153_c9_g2	RPL17 structural constituent of ribosome
isogroup67126_c0_g1	ppm1g protein serine/threonine phosphatase activity
isogroup67187_c0_g1	FAT3 Cadherin repeats.
isogroup67187_c0_g2	FAT3 Cadherin repeats.
isogroup67187_c0_g3	FAT3 Cadherin repeats.
isogroup67166_c0_g2	FRG1 actin filament binding
isogroup67166_c1_g1	NEK1 serine threonine-protein kinase
isogroup67166_c1_g2	NEK1 serine threonine-protein kinase
isogroup67166_c1_g5	FRG1 FSHD region gene 1
isogroup67166_c1_g7	FRG1 FSHD region gene 1
isogroup67135_c0_g1	MRS2 mitochondrial magnesium ion transmembrane transport
isogroup67145_c2_g1	PHEX metalloendopeptidase activity
isogroup67186_c0_g1	 nucleic acid binding
isogroup67182_c0_g1	CCDC115 Coiled-coil domain containing 115
isogroup67192_c0_g1	BECN1 negative regulation of lysosome organization
isogroup67122_c2_g1	mlc-4 calcium ion binding
isogroup67122_c2_g6	mlc-4 calcium ion binding
isogroup67122_c2_g7	mlc-4 calcium ion binding
isogroup67159_c6_g2	ABCC4 ABC transporter transmembrane region
isogroup67142_c0_g1	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup67142_c2_g2	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup67142_c2_g3	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup67142_c2_g5	pgp-2 ATP-binding cassette, subfamily B (MDR TAP), member
isogroup67147_c0_g1	MTHFS 5-formyltetrahydrofolate cyclo-ligase activity
isogroup67138_c0_g1	KLHDC8B cell division
isogroup67191_c0_g1	C1orf35 Kinase phosphorylation protein
isogroup67191_c0_g2	SPATA4 spermatogenesis associated 4
isogroup67191_c0_g3	C1orf35 Kinase phosphorylation protein
isogroup67171_c0_g2	TASP1 threonine aspartase 1
isogroup67132_c3_g1	RpL3 Ribosomal protein L3
isogroup67132_c3_g2	RpL3 ribosomal large subunit assembly
isogroup67132_c3_g4	RPL3 ribosomal large subunit assembly
isogroup67132_c3_g6	RpL3 ribosomal large subunit assembly
isogroup67152_c0_g1	HELZ2 nuclear receptor transcription coactivator activity
isogroup67156_c2_g1	 activation of NF-kappaB-inducing kinase activity
isogroup67149_c0_g1	UNC50 RNA binding
